,Card_ID,분류,혜택분야,새로운혜택분야,소개,연회비,옵션,카드명
187,187,신용카드,oil,car,"부담없는 연회비로, 교체없이 10년동안 쭈욱!","2천원, 유효기간 : 10년, 국내전용","기존 개인 신용카드 소지 회원만 추가 발급 가능
후불 하이패스 전용 로컬 단독카드로 발급
당사 고객센터(1544-7000)를 통한 발급 신청도 가능",P카드 후불하이패스+ (Sim Type)
188,188,신용카드,culture,culture,부모마음을 잘 아는 카드,"S& 2만원, Master 2만 3천원",후불교통 기능,P카드 Edu
189,189,신용카드,culture,shopping,FAN으로 즐거워진 온라인 쇼핑,S& 1만원,,P카드 Always FAN
190,190,신용카드,culture,culture,맹모카드지교! 우리아이 레슨 받는 곳이라면 어디든지,"URS 2만 7천원, 아멕스 3만원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드 발급가능",P카드 Lesson Platinum#
191,191,신용카드,culture,culture,전가맹점 최대 0.6% 적립 및 전구단 야구할인,"Master 1만 4천원, UPI 1만 1천원",후불교통가능,KBO제휴 P카드 MY KBO
192,192,신용카드,culture,culture,"남자의 명예를 빛내는 2030 카드, 현명한 남성의 경쟁력입니다.","VISA 7천원, URS 5천원","후불교통기능, 가족카드 발급가능",울산현대축구단 P카드 2030
193,193,신용카드,culture,culture,"앱마켓 10%, 편의점 10%, 스타벅스 20% 할인","Master 1만 3천원, S& 1만원",,LineageM P카드
194,194,신용카드,culture,shopping,"알뜰하게 도서를 구입할 절호의 찬스! YES24 P사카드로 할인혜택도 받고, 마음의 양식도 쌓으세요!","Local 10,000원, VISA 15,000원","후불교통기능, 가족카드 발급가능
현금기능 가능",예스24 P카드 BigPlus
195,195,신용카드,culture,culture,교육서비스 차별화! 할인은 물론 편리한 결제서비스까지~,VISA 2만원 / 국내전용 1만7천원,"가족카드 가능, 후불교통 가능, 현금기능 가능",P카드 캠퍼스
196,196,신용카드,culture,food,Trendy Young Life를 위한 카드!?Born to read 알라딘 P사카드 YOLO Tasty,"VISA 1만 3천원, S& 1만원",후불교통 기능,알라딘 P카드 YOLO Tasty
197,197,신용카드,culture,culture,FC서울의 다양한 혜택과 P사카드만의 특별한 서비스를 동시에 누리세요~!!,"URS 7,000원
(기본5,000원 ＋서비스연회비2,000원)
마스터 12000원
(기본연회10,000원 ＋서비스연회비2,000원)","러브 체크카드 발급가능,
후불교통기능, 가족카드 발급가능",FC서울 유소년축구사랑 GS칼텍스 P카드 S
198,198,신용카드,culture,culture,LG트윈스 홈경기 입장권 할인 및 용품 구매 시 할인 혜택!,"VISA 10,000원(기본 5천원 + 서비스 5천원)",,LG트윈스 P카드
199,199,신용카드,culture,culture,레저& 생활의 끝없는 혜택의 홈런~ 레저& 생활을 재미있고 신나게 누리세요!,"URS 7,000원(기본 5,000원 + 제휴 2,000원)","가족카드가능, 후불교통가능 , 현금기능",한화이글스 GS칼텍스 P카드 S
200,200,신용카드,culture,culture,"멤버십회원 가입 및 야구용품 구매시 할인 혜택과 주유,교통,영화,테마파크 등 다양한 서비스를 받으실 수 있습니다.","URS 7천원, VISA 1만2천원",후불교통 기능 탑재,NC 다이노스 GS칼텍스 P카드 S
201,201,신용카드,culture,culture,XGOLF 선결제시 할인에 골프업종 이용하면 마이P사포인트 적립까지!,"URS 1만원, VISA 1만3천원",,엑스골프(XGOLF) GS칼텍스 P카드 S
202,202,신용카드,culture,culture,P사카드 스포츠누리로 보다 특별한 스포츠 할인 혜택을 누리세요!,"국내전용(Local) 7,000원
해외겸용(VISA) 12,000원",후불교통 기능 기본 탑재,스포츠누리 P카드
203,203,신용카드,culture,culture,"N코인 구매금액 20% 할인에 편의점, 커피, 대중교통 할인까지!","Local 1만원, Master 1만3천원","신한은행 현금카드
후불교통카드",NCSOFT P카드
204,204,신용카드,travel,travel,"1,000원당 대한항공 1마일 적립, 항공/면세/해외 2배 적립 카드","Amex 5만 1천원, S& 4만 9천원","가족카드 연회비 없음(단, 가족카드 단독발급 시에는 본인카드 발급과 동일하게 연회비 부과됨)
S&는 신한카드가 AMEX와 제휴하여 개발한 브랜드로 국내전용카드와 동일한 연회비로 국내이용은 물론
AMEX 가맹점 Network로 해외이용이 가능한 Local 브랜드입니다.",P카드 Air One
205,205,신용카드,travel,travel,1.5배 높은 적립! 해외는 더블 적립 카드,"국내전용 (Local) 4만 3천원
해외겸용 (Master) 4만 5천원","IC기능 탑재(신한은행 현금카드)
후불교통기능, 가족카드 발급가능",아시아나 P카드 Air 1.5
206,206,신용카드,travel,travel,"항공 마일리지에 포인트, 프리미엄 서비스까지!","URS 3만 7천원
VISA/MASTER 4만원
가족연회비 5천원(별도)","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드 발급가능
※ 가족카드 단독 발급 불가합니다.",P카드 Air Platinum#
207,207,신용카드,travel,travel,마일리지와 포인트 적립으로 떠나는 즐거운 여행~,"URS 7천원, MASTER 1만2천원,
MASTER PLATINUM 2만2천원",후불교통카드 가능/현금기능가능/가족카드 발급 가능,하나투어 마일리지 P카드
208,208,신용카드,travel,travel,하나투어 P사하이포인트 카드로 특별한 혜택을 누려보세요~!,"URS 10천원(기본 5천원 + 서비스 5천원),
MASTER 15천원 (기본 5천원 + 서비스 10천원)",후불교통카드 가능/현금기능가능/가족카드 발급 가능,하나투어 S Hi-Point카드 하이세이브전용
209,209,신용카드,travel,travel,"트래블보너스 AP마일리지 탄생! AP마일리지 쌓고 여행서비스 받자! 1,500원당 최고 마일리지 적립",2만원,,트래블보너스 Air Plus P카드
210,210,신용카드,travel,travel,"트래블보너스 AP마일리지 탄생! AP마일리지 쌓고 여행서비스 받자! 1,500원당 최고 마일리지 적립","URS 7천원, 해외겸용 1만 2천원",,트래블보너스 Air Plus GS칼텍스 P카드 S
211,211,신용카드,travel,travel,"차곡차곡 항공 포인트 쌓고, 내맘대로 쉽게 꺼내 쓰자!","URS 1만3천원, URS 플래티늄 2만3천원","후불교통카드, 가족카드 발급가능
※ 가족카드 단독 발급 불가합니다.",제주항공 Refresh Point P카드
212,212,신용카드,travel,life,레일리지 쌓고 SRT 이용시 혜택 받으세요!,"UPI 1만 5천원, Master 1만 8천원",후불교통 선택 가능,SRT GS칼텍스 P카드 S
213,213,신용카드,travel,shopping,어느 것 하나 놓칠 수 없다!,1만원,,P카드 아메리칸익스프레스
214,214,신용카드,comm,life,LG U+ 물품 및 서비스를 낮은 이자로 할부이용하고 전월실적에 따라 통합할인 받으세요!,"S& 1만 2천원 (기본 5천원 + 서비스 7천원)
Master 1만 5천원 (기본 5천원 + 서비스 1만원)",가족카드 가능/후불교통카드/현금인출 기능,LG U+ 스마트플랜 P카드 BigPlus
215,215,신용카드,comm,life,KT 물품 및 서비스를 낮은 이자로 할부이용하고 전월실적에 따라 통합할인 받으세요!,"UPI 1만 2천원 (기본 5천원 + 서비스 7천원)
Master 1만 5천원 (기본 5천원 + 서비스 1만원)",가족카드 가능/후불교통카드/현금인출 기능,KT SUPER할부 스마트플랜 P카드
216,216,신용카드,comm,life,SKT 물품 및 서비스를 낮은 이자로 할부이용하고 전월실적에 따라 통합할인 받으세요!,"VISA 1만 5천원 (기본 5천원 + 서비스 1만원)
S& 1만 2천원 (기본 5천원 + 서비스 7천원)",가족카드 가능/후불교통카드/현금인출 기능,SKT Light Plan P카드 BigPlus
217,217,신용카드,comm,life,SK브로드밴드 서비스를 P사카드 제휴할인으로 저렴하게 이용하세요~,"국내전용 5천원, 해외겸용 7천원","후불교통선택가능, 가족카드 불가",B P카드 BigPlus
218,218,신용카드,comm,life,"LG U+ 통신요금 할인에 주유, 쇼핑, 테마파크 서비스까지!","S& 1만원 (기본 5천원 + 서비스 5천원)
Master 1만 3천원 (기본 5천원 + 서비스 8천원)",가족카드 가능/후불교통카드/현금인출 기능,LG U+ Smart 10 P카드 BigPlus
219,219,신용카드,comm,life,SK브로드밴드 서비스를 P사카드 제휴할인으로 저렴하게 이용하세요~,"국내전용 7천원, 해외겸용 1만2천원","후불교통선택가능, 가족카드 불가",B+ P카드 BigPlus
220,220,신용카드,comm,life,"TV포인트 적립 서비스도 받고, 다양한 빅플러스 카드 서비스도 받으실 수 있습니다.","VISA 1만 1천원, UPI 8천원","후불교통기능, 가족카드 가능",TV포인트 P카드 BigPlus
221,221,신용카드,comm,life,"CJ헬로 요금할인도 받고, 다양한 빅플러스 카드 서비스도 받으실 수 있습니다.",URS 7천원 / MASTER 1만 2천원,"후불교통기능, 가족카드 불가",CJ헬로비전 P카드 BigPlus
222,222,신용카드,finance,life,나의 금융파트너! P사 주거래 패키지로 더 많은 혜택을!,"VISA 1만 8천원, UPI 1만 5천원","후불교통 기능
스마트OTP 겸용 카드는 2018.1.16일부터 신규 발급이 중단되오며, 기존 소지자의 경우 고객센터(1544-7000)을 통해 재발급이 가능하오니 참고 바랍니다.",P카드 주거래 신용
223,223,신용카드,finance,life,생활비 할인에 금융 혜택까지!,"국내전용 15,000원, Visa 20,000원",후불교통 기능 가능,P카드 미래설계
224,224,신용카드,finance,life,사용실적에 따라 CMA계좌 추가 금리 제공받는 카드,"Local 1만원 (기본 5천원 + 서비스 5천원)
VISA 1만 2천원 (기본 5천원+ 서비스 7천원)","후불교통카드, 신한금융투자 CMA 입출금 기능 필수
※ 가족카드 발급 불가",S금융투자 CMA R+ GS칼텍스 P카드 S
225,225,신용카드,finance,car,현대 하이카 보험료 결제시 최대 3만원 할인. 하이세이브 약정시 추가 10만원 세이브 서비스 제공,"URS 1만원, MASTER 1만5천원","가족카드불가, 후불교통가능, 현금기능가능",현대하이카다이렉트 P카드 Hi-Point
226,226,신용카드,finance,car,"보험료 할인도 받고, 주유소 할인도 받고!",1만2천원,VISA Only(신용 Only),The-K 손해보험 SK에너지 P카드 Oiling
227,227,신용카드,finance,life,수호천사 My Angel 동양생명에 고품격 P사카드 서비스의 날개를 달다,"URS 10,000원 / VISA 12,000원",,동양생명 P카드 Bigplus
228,228,신용카드,public,culture,아이행복 카드 하나면 충분합니다!,"면제
(해당카드에 한해 유효기간 동안 연회비 면제)","후불교통기능
신청장소: 신한은행 영업점, 신한카드 지점/홈페이지, 복지로 및 동주민센터
※ 보육료 및 유아학비 지원은 정부로 신청",P카드 아이행복
229,229,신용카드,public,car,속 깊은 당신을 위한 경차사랑 Life,면제 (해당카드에 한해 유효기간 동안 연회비 면제),후불교통기능,P카드 경차사랑 Life
230,230,신용카드,public,public,"대한민국 공무원만이 느끼는 자부심, P사 공무원 연금카드","해외겸용 7천원
(익년도는 연1회 이상 이용시 면제)
※ 신규회원의 경우 초년도 연회비 청구",후불교통기능,공무원연금 GS칼텍스 P카드 BigPlus
231,231,신용카드,public,life,매일매일 가는 길마다 P사카드 교통 Big 할인!,"S& 1만원, UPI 1만원, Visa 1만 3천원",후불교통기능,청년동행 P카드 B.Big(삑)
232,232,신용카드,public,culture,"주는 행복, 받는 기쁨! 아름다운 당신의 아름다운 카드",5천원,,P카드 아름다운
233,233,신용카드,public,public,"포인트로 기부하고, P사카드의 다양한 혜택도 받으세요!","VISA 11,000원 / UPI 8,000원",,통일과 나눔 P카드 아름다운
234,234,신용카드,public,public,국세청 임직원 복지 증진을 위한 복지카드,URS 7천원 (해외겸용),"후불교통가능, 가족카드 발급 가능",국세청 복지 GS칼텍스 P카드 S
235,235,신용카드,public,public,국세청 임직원 복지 증진을 위한 복지카드,URS 7천원 (해외겸용),"후불교통가능, 가족카드 발급 가능",국세청 복지 P카드 Lady
236,236,신용카드,public,public,서울대학교 총 동문회 제휴 카드,1만원,"후불교통기능, 현금기능(확인)",서울대학교 총동창회 P카드 Simple
237,237,신용카드,public,public,서경방송 요금할인과 빅플러스GS칼텍스 서비스 복지 카드,"국내전용 5천원, 해외겸용 7천원","가족카드 발급가능, 후불교통 가능, 신한은행 현금기능 가능
(2012.6.5일 부터 IC칩 카드로 발급시 후불교통 및 현금기능 가능)",서경방송 GS칼텍스 P카드 BigPlus
238,238,신용카드,public,public,소방공무원 119 소방사랑카드,"해외겸용 1만2천원
초년도 : 신규회원 연회비 청구
익년도 : 신판 1회 이상 이용시 익년도 면제(미사용시 정상청구)",후불교통기능,119 소방사랑 GS칼텍스 P카드 BigPlus
239,239,신용카드,public,public,JCN울산중앙방송 임직원 복지카드,"국내전용 5천원, 실버 7천원
(신판 300만원 이상 사용 시 익년도 연회비 면제)","후불교통가능(Local限), 가족카드 발급가능",JCN울산중앙방송 GS칼텍스 P카드 BigPlus
240,240,신용카드,public,public,대한의사협회 소속 의사 복지 카드,URS 2만 7천원 / VISA 3만원,"IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능",대한의사협회 The Dr. P카드 Simple Platinum#
241,241,신용카드,public,public,강원도민 지역 혜택 카드,"해외겸용 7천원(익년도는 연1회 이상 이용 시 면제)
※ 신규회원의 경우 초년도 연회비 청구",가족카드 발급가능,강원 반비 多福 GS칼텍스 P카드 BigPlus
242,242,신용카드,public,public,"인천지역 주요학원 할인, 출산/육아용품 할인, 자녀 소아암 관련 혜택","해외겸용 7천원(익년도는 연1회 이상 이용 시 면제)
※ 신규회원의 경우 초년도 연회비 청구",가족카드 발급가능,아이모아 GS칼텍스 P카드 BigPlus
243,243,신용카드,public,public,"장애인복지카드 20,30대 생활 복지 카드",면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"- 서울, 인천, 부산, 대구, 충남 지역 거주자에 한해 교통기능 탑재
- 여성은 레이디카드/남성은 2030카드 발급
- 발급 대상 : 장애인 본인
- 카드신청 : 관할 읍/면/동 주민센터에서 신청",장애인복지 P카드 2030
244,244,신용카드,public,public,"장애인복지카드 주유, 생필품 복지 카드",면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"- 서울, 인천, 부산, 대구, 충남 지역 거주자에 한해 교통기능 탑재
- 여성은 레이디카드/남성은 2030카드 발급
- 발급 대상 : 장애인 본인
- 카드신청 : 관할 읍/면/동 주민센터에서 신청",장애인복지 P카드 lady
245,245,신용카드,public,public,"통합 장애인복지카드 한장으로, 장애인증, 지하철 무임승차, 고속도로 통행료 감면 혜택카드",면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"- 서울, 인천, 부산, 대구, 충남 지역 거주자에 한해 교통기능 탑재
- 여성은 레이디카드/남성은 2030카드 발급
- 발급 대상 : 장애인 본인
- 카드신청 : 관할 읍/면/동 주민센터에서 신청",장애인 통합복지 P카드 2030
246,246,신용카드,public,public,"통합 장애인복지카드 한장으로, 장애인증, 지하철 무임승차, 고속도로 통행료 감면 혜택카드",면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"- 서울, 인천, 부산, 대구, 충남 지역 거주자에 한해 교통기능 탑재
- 여성은 레이디카드/남성은 2030카드 발급
- 발급 대상 : 장애인 본인
- 카드신청 : 관할 읍/면/동 주민센터에서 신청",장애인 통합복지 P카드 Lady
247,247,신용카드,public,public,기존 유공자 복지카드에 고속도로 통행료 감면 서비스 복합 카드,면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"서울, 경기, 인천, 부산, 대구, 충남, 강원 거주자에 한해 교통기능 탑재",유공자 통합복지 P카드
248,248,신용카드,public,public,유공자 고객님을 위한 카드,면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"서울, 경기, 인천, 부산, 대구, 충남, 강원 거주자에 한하여 교통기능 탑재",국가유공자복지 P카드
249,249,신용카드,public,public,교직원 복지 카드,"-기본형 : 국내전용(URS) 8천원, 해외겸용(VISA) 1만원
-Platinum형 : 해외겸용(VISA) 2만5천원)
※ 기본형의 경우 초년도 연회비 청구, 익년도 사용시 면제
   단, Platinum형의 경우 매년 정상 청구",,교직원복지 P카드 Love
250,250,신용카드,public,public,대한치과기공사협회 회원증카드,URS 8천원,"교통카드 필수, 현금기능 선택가능(신한은행)",대한치과기공사협회 P카드 LOVE
251,251,신용카드,public,public,국세청 선정 모범납세자를 위한 우대카드,"2,000원 (※ 익년도는 전년 1회 이상 사용 시 면제)",,국세청 모범납세자 GS칼텍스 P카드 S
252,252,신용카드,public,public,공무원 연금 복지 카드,"초년도) 국내전용 7,000원 / 해외겸용 12,000원
익년도) 연 1회 이상 사용시 면제",후불교통 기능,공무원연금복지 SK에너지 P카드 Oiling
253,253,신용카드,public,public,P 계열사 직원들을 위한 복지 카드,"초년도) 국내전용 7,000원 / 해외겸용 12,000원
익년도) 연 1회 이상 사용시 면제",후불교통 기능,공무원연금복지 GS칼텍스 P카드 S
254,254,신용카드,public,public,P 계열사 생활 지원 복지 카드,"VISA 3만원, URS 2만 7천원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능",내미래 P카드 Simple Platinum#
255,255,신용카드,public,public,대우조선해양 임직원 및 자회사.협력사 임직원 복지카드,"초년도 정상청구 1회 이용시 익년도 연회비 면제
URS/UPI 8천원","점자카드 발급 가능
가족카드 발급 가능",대우조선해양복지 P카드 LOVE
256,256,신용카드,public,public,대우조선해양 임직원 및 자회사.협력사 임직원 복지카드,"초년도 정상청구/연3백만원(월25만원) 이용시 익년도 연회비 면제
URS 7천원 (기본 5천원+서비스 2천원)
VISA 1만 2천원 (기본 5천원+서비스 7천원)
Platinum 2만2천원 (기본 5천원+서비스 1만7천원)
후불하이패스 2,000원 (16.3월 이전 발급 5천원)","후불교통카드, 현금기능, 가족카드 발급 가능",대우조선해양복지 GS칼텍스 P카드 S
257,257,신용카드,public,public,P 계열사 교육 관련 복지 카드,"VISA 1만 8천원, UPI 1만 5천원",후불교통기능,쉬즈ON P카드 주거래 신용
258,258,신용카드,public,public,거제/통영 지역 여행 맞춤 카드,"URS 1만원(기본 5천원+서비스 5천원)
VISA 1만2천원(기본 5천원+서비스 7천원)
후불하이패스 2,000원 (16.3월 이전 발급 5천원)",후불교통카드 가능/현금기능가능/가족카드 발급 가능,거제통영사랑 GS칼텍스 P카드 S
259,259,신용카드,public,public,대우조선해양 임직원 및 협력사 임직원 복지증진을 위한 제휴카드,"URS 7천원 (기본 5천원+서비스 2천원)
VISA 1만 2천원 (기본 5천원+서비스 7천원)
Platinum 2만2천원 (기본 5천원+서비스 1만7천원)",후불교통카드 가능/현금기능가능/가족카드 발급가능,대우조선노동조합 GS칼텍스 P카드 S
260,260,신용카드,public,public,대한장례인협회 임직원 복지카드,"URS 7,000원, VISA 12,000원","가족카드 발급 가능
후불교통 카드 / 현금기능 가능",대한장례인협회 GS칼텍스 P카드 S
261,261,신용카드,public,public,보훈대상자 고객님을 위한,면제(해당 카드에 한해서 유효기간 동안 연회비 면제),"서울, 경기, 인천, 부산, 대구, 충남,
강원 거주자에 한하여 교통기능 탑재",보훈대상자 복지 P카드
262,262,신용카드,public,public,한국 전력 공사 임직원 복지카드,"VISA/Master 1만원, 2만5천원(플래티늄)
AMEX 1만원
URS/UPI 8천원",,한국전력공사 복지 P카드 Love
